Timestep Beginning,Date,Load (kW),Net Load (kW)
0.0,2025-07-17,330.338333333333,370.1774318614326
0.25,2025-07-17,318.830666666667,370.1774318614326
0.5,2025-07-17,342.713666666667,370.17743186143264
0.75,2025-07-17,363.737333333333,370.1774318614326
1.0,2025-07-17,362.60033333333297,370.1774318614326
1.25,2025-07-17,355.380666666667,370.1774318614325
1.5,2025-07-17,341.865666666667,370.1774318614326
1.75,2025-07-17,336.965333333333,370.1774318614326
2.0,2025-07-17,337.527333333333,370.1774318614326
2.25,2025-07-17,337.824666666667,370.1774318614326
2.5,2025-07-17,333.799,370.1774318614325
2.75,2025-07-17,334.354333333333,370.1774318614325
3.0,2025-07-17,334.652,370.1774318614325
3.25,2025-07-17,331.498666666667,370.1774318614325
3.5,2025-07-17,316.514,370.17743186143247
3.75,2025-07-17,320.541333333333,370.1774318614325
4.0,2025-07-17,317.081333333333,370.1774318614325
4.25,2025-07-17,316.522666666667,370.1774318614325
4.5,2025-07-17,309.88,370.1774318614325
4.75,2025-07-17,310.762666666667,370.1774318614325
5.0,2025-07-17,309.601333333333,370.17743186143247
5.25,2025-07-17,308.434666666667,370.1774318614325
5.5,2025-07-17,296.928666666667,370.1774318614325
5.75,2025-07-17,299.521,370.1774318614325
6.0,2025-07-17,308.155666666667,370.1774318614326
6.25,2025-07-17,301.537,370.17743186143247
6.5,2025-07-17,288.582,370.1774318614325
6.75,2025-07-17,294.046333333333,370.1774318614325
7.0,2025-07-17,296.070333333333,303.1518198199153
7.25,2025-07-17,298.942333333333,303.1518198199153
7.5,2025-07-17,297.209666666667,303.1518198199153
7.75,2025-07-17,291.173666666667,303.1518198199153
8.0,2025-07-17,285.693,303.1518198199153
8.25,2025-07-17,304.422,303.15181981992436
8.5,2025-07-17,292.893333333333,303.15181981991526
8.75,2025-07-17,293.762666666667,303.1518198199153
9.0,2025-07-17,295.766,303.1518198199153
9.25,2025-07-17,292.030666666667,303.1518198199153
9.5,2025-07-17,288.003666666667,303.1518198199153
9.75,2025-07-17,297.501666666667,303.1518198199153
10.0,2025-07-17,292.617,303.1518198199153
10.25,2025-07-17,293.748,303.1518198199153
10.5,2025-07-17,292.907333333333,303.1518198199153
10.75,2025-07-17,292.030666666667,303.1518198199154
11.0,2025-07-17,295.769333333333,303.1518198199153
11.25,2025-07-17,307.015333333333,303.15181981992447
11.5,2025-07-17,297.215333333333,303.1518198199154
11.75,2025-07-17,293.75,303.1518198199153
12.0,2025-07-17,292.611,303.1518198199153
12.25,2025-07-17,297.802666666667,303.1518198199154
12.5,2025-07-17,297.498,303.1518198199154
12.75,2025-07-17,308.447,303.15181981992447
13.0,2025-07-17,313.626,303.15181981992447
13.25,2025-07-17,301.539666666667,303.15181981991543
13.5,2025-07-17,294.922,303.1518198199154
13.75,2025-07-17,288.277,303.1518198199154
14.0,2025-07-17,296.065666666667,303.1518198199153
14.25,2025-07-17,310.465,303.15181981992447
14.5,2025-07-17,313.927666666667,303.15181981992447
14.75,2025-07-17,323.429333333333,303.1518198199245
15.0,2025-07-17,322.839333333333,303.15181981992447
15.25,2025-07-17,333.219,303.1518198199245
15.5,2025-07-17,333.785666666667,303.15181981992447
15.75,2025-07-17,339.274666666667,303.1518198199246
16.0,2025-07-17,345.310333333333,303.1518198199245
16.25,2025-07-17,351.060333333333,303.1518198199245
16.5,2025-07-17,349.650333333333,303.1518198199245
16.75,2025-07-17,348.473,303.1518198199245
17.0,2025-07-17,353.378333333333,303.1518198199245
17.25,2025-07-17,353.370333333333,303.1518198199245
17.5,2025-07-17,348.764666666667,303.1518198199245
17.75,2025-07-17,351.374,303.1518198199245
18.0,2025-07-17,360.568666666667,303.1518198199246
18.25,2025-07-17,361.444,303.1518198199246
18.5,2025-07-17,357.684333333333,303.1518198199245
18.75,2025-07-17,361.72533333333297,303.1518198199246
19.0,2025-07-17,361.448333333333,303.1518198199246
19.25,2025-07-17,374.026129032258,303.1518198199245
19.5,2025-07-17,367.770333333333,303.1518198199245
19.75,2025-07-17,371.814666666667,303.1518198199245
20.0,2025-07-17,380.733,303.1518198199245
20.25,2025-07-17,391.97266666666707,303.15181981992447
20.5,2025-07-17,378.14433333333295,303.15181981992447
20.75,2025-07-17,376.994333333333,303.15181981992447
21.0,2025-07-17,366.918333333333,303.1518198199246
21.25,2025-07-17,363.444333333333,303.1518198199245
21.5,2025-07-17,361.153666666667,303.1518198199245
21.75,2025-07-17,370.096,303.15181981992447
22.0,2025-07-17,366.9,369.76014120878364
22.25,2025-07-17,362.87766666666704,369.36657262816954
22.5,2025-07-17,367.50033333333295,369.5792323844217
22.75,2025-07-17,369.49233333333297,369.9765534288486
23.0,2025-07-17,361.738666666667,368.630253530133
23.25,2025-07-17,354.518333333333,367.6792628846363
23.5,2025-07-17,351.656333333333,367.0127230695716
23.75,2025-07-17,351.075666666667,366.518336192286
